id,text
1244401305487114258,: A lovely information graphic showing reasonable timeline and proportional illness estimates for infection. Credi…
1244401305575194626,": residents estimate, based on calculations of cremations and urns now being returned to families, that between k-46k…"
1244401305591771136,I supported you when they treated you the wrong way at WH. I did not want CNN to fire you. But we are fight…
1244401305596170241,: Kemp and DeSantis — two GOP governors who won office thanks to Trump’s support — have been among the slowest in reacting…
1244401305633914883,": When we scientists warned of an enential elosion of cases, this is what it looks like in reality. …"
1244401305482866693,": Three-quarters of Americans think the federal government should impose a national stay-in-place order, in spite of Trump'…"
1244401305755561987,": Corona virus has killed millions of people but u n ur family are still alive,, thank God for de gift of life"
1244401305742958600,": We’re all in this together, folks! For everyone telling me to “cite my sources—“ you could also try reading the news …"
1244401304111177728,Support Catherine by signing “Why You Must Act Now” and I’ll deliver a copy to your officials too:…
1244401305520672770,: Thank you! This inspired us to do the math and donate the same percentage of our wealth. My husband and I are do…
1244401305717813254,: In lieu of Canadian MPs will still be giving themselves a pay raise next week. Meanwhile millions of Canadian…
1244401305768075264,": people complaining about another days on lockdown, well maybe you should STAY THE FUCK INSIDE THEN LIKE YOU’RE SUPPOSED TO"
1244401305818464260,: /7 B) Leaders of all faiths: join ’s efforts on to &amp; of …
1244401305822449665,I’m old enough to remember when the US sent medical supply aid to other countries. Now we’re begging people for the…
1244401305944113153,: First trim after lockdown
1244401305940099072,: Pelosi is now hinting at doing another sham investigation into Trump about coronavirus once this is over. How about inst…
1244401305965101057,": ,500 Americans tested positive for the Coronavirus. Americans are dead. But, the President of the United States is…"
1244401305935851522,: Arghhhhh
1244401306019790854,: Pelosi is now hinting at doing another sham investigation into Trump about coronavirus once this is over. How about inst…
1244401305965248512,: I wonder who these friends of Trump are who told him he should have done nothing about and just ride it through like a…
1244401305768075265,": Amid the horror, some hope.."
1244401306070061058,": Get off your Hate Trump high horse..Pelosi says Trump has downplayed severity of coronavirus: 'As the president fiddles, p…"
1244401306091036679,.. This country is full of thick selfish cnuts
1244401309437968385,": After talking about his coronavirus ratings bonanza, Donald Trump says he can’t wait to find out what happenes on The Ba…"
1244401309299757057,": One month ago, Trump said there were only coronavirus cases in the United States and in a few days it would be zero and t…"
1244401309182197761,Ok... so WH has accepted we are in this for another days... needs to order more/all of Florida t…
1244401309102596097,On Listen gr…
1244401309437943809,: Me when I found out the Victorious cast was supposed to have a year reunion but it was cancelled because of this Co…
1244401309417197571,": ""I've been talking to Fox insiders..., there's a real concern inside the network that their early downplaying of the coron…"
1244401309530370049,: This gives you an idea of how many layers of protection doctors need to keep themselves safe everyday from the Coronavir…
1244401309496705024,: This should be a front page story including : In Feb Trump donated over TONS of masks and protective supplies…
1244401309417168897,Lie. He declared an emergency in March. What unfolded b/w Jan &amp; March set the stage for where we are now. Speaking…
1244401309614309378,: Corporate America will do what the government CAN’T! “Mike Rowe: Coronavirus Crisis Could Be 'Most Compelling Case for Capitali…
1244401309580759042,": residents estimate, based on calculations of cremations and urns now being returned to families, that between k-46k…"
1244401309710569473,": Pelosi on Trump's coronavirus response: 'As the President fiddles, people are dying' - CNNPolitics"
1244401309752504320,: Rhode Island Public School Teacher Offers to Pay for Someone With Coronavirus to Cough on President Trump
1244401309807194114,: I know .....Purely by Accident.. Trump has proven time and time again that (these people) are…
1244401309790253056,": So this happened twice today, with and : Reporters read Trump quote back to him, Trump denies and attacks.…"
1244401309794648067,Pres Trump says some people told him of mitigation efforts: “Maybe we shouldn’t do anything. Just ride it. Ride it…
1244401309958242305,": News Alert: Dr. Vladimir Zelenko, a board-certified family practitioner in NY, has now treated Covid-19…"
1244401309974855680,: ️ Nice article on the power of romance novels in uncertain times featuring awesome commentary from - with shouto…
1244401310016864256,: Coronavirus Profiteers Are Worse Than War Profiteers
1244401310088265736,this is not making sense
1244401309060456449,World whatzap chat group🤦‍️🤔
1244401309865906180,": Half a million tests. Every week. UK is only just creeping up to ,000 a day. Of course Germany also has well funded hea…"
1244401309933023243,Doesn’t add up.
