127,"👇 Charlotte is food coordinator at @pxiprojects

The #coronavirus crisis has brought huge pressure
on food banks, highlighting flaws in our welfare system.

We need a dignified National Food Service.

Share what government gap you're filling in Sheffield: https://t.co/96sAlJDcHJ https://t.co/y9Wh4u24uG"
128,"I'm sorry, but it is not enough to apologise for how people ""feel"". 

19 NHS workers and at least 2 prison staff have lost their lives because of #COVID19.

Brave workers on the frontline of this crisis need the protective equipment they have been promised."
129,"LIVE | Action will be taken against landlords, society managers if they create pressure on doctors, paramedical staff to vacate premises, Noida police said.

More updates on #COVID__19 here.
https://t.co/6psb5M6dkQ"
130,On a serious note lads please take this virus and lockdown seriously because it is killing thousands of people I thought nobody in my family would get it and now my mother has fallen ill so please stay at home and stay safe everyone❤️
131,"Surveillance is not the answer.

My piece for @jacobinmag &amp; ty @shawngude for edits."
132,"@shiner_sam Bloody hell Sam, it’s a good job there is a lockdown. You look amazing 😉🙏😍😍"
133,Probably treating myself to a solo dinner somewhere nice
134,"We have an alcohol problem. No matter how you look at it, this is scary"
135,"extremely Collège de France energy by the Telegraph there, going full Kantorowicz, you love to see it"
136,"India ramps up hydroxychloroquine production

“The domestic demand is 3 million tablets a month but we have the capacity to go up to 150 million to 200 million tablets a month easily,"" says industry group secretary.

https://t.co/Dec4k2Ecso"
137,"When the lockdown started, Kerala was the state with most confirmed Covid-19 cases. Now it's 10th on the list.
Everyday, active cases in Kerala are decreasing!

Yet no mainstream coverage. News pe bas 'SANKARMAN!' 'MAUT KA AANKDA!', 'HUM NO. 1 NEWS CHANNEL!' yahi chalao!"
138,"When we catch them daily...isn't this illegal?  Someone?  

 https://t.co/aA6OAtUvuo"
139,"Reading this will encourage you to stay home — and to empathize with all the horrible suffering this plague has brought to so many
https://t.co/2tjFKsbccl"
140,"During #COVID19 outbreak, stay at least 1 meter away from others, follow distancing measures issued by your local authority and avoid public activities, even if you feel healthy. https://t.co/xrMU4tYxn6"
141,"From ignoring Taiwan's warnings to parroting Chinese propaganda, here's everything you need to know about the World Health Organization's bungled response to #Covid19 !
https://t.co/GaRf1c8NKS"
142,Its not about a virus . What are they doing while we are in lockdown? ............ Exposing The CV19 Death Certificate Scam w/ Dr Annie Bukacek MD ......................   https://t.co/7YFP3nE4aC
143,"The number of confirmed coronavirus cases in the United States topped 500,000 on Friday as health officials reported the highest number of deaths in a single day https://t.co/PpyBUOMVYb"
144,"President Trump: You need to get a handle on testing. NOW.

We fought for free coronavirus testing. And we’re continuing to fight to ensure that Americans are getting tested so we can beat this pandemic and help those affected."
145,"We need to unite to defeat the coronavirus. #NancyPelosi comparing @realDonaldTrump to Nero fiddling while Rome burned and ignoring all he's done to stop #COVID-19, is counter to what America needs. Politicians like her &amp; @RepAdamSchiff are trying to tear us and the country apart https://t.co/gmxEmFpJda"
146,"""Dial 91-1""...love the poem my father wrote regarding this pandemic. Stand on Psalm 91:1 during this time! #coronavirus #trusttheLord https://t.co/4OIuKfdGdq"
147,"Anyone watching the briefing will know this is an absolute LIE!!
This is how the msm spin things.
Do NOT believe the News!!!"
148,"Good question raised by @TuckerCarlson Why did the Corona virus spread all over the world, impacting cities all throughout countries but only affected one city in China, Wuhan. All the others were somehow saved?

5 million people left Wuhan and no other major outbreaks in China?"
149,Quite frightening to see UK on same trajectory as Italy and just behind France. S Korea top-of-class outlier. US bottom of class. Germany/Sweden looking lot better than UK. But need per capita deaths for real comparison. I'm ignoring Iranian and Chinese data.
150,"#BREAKING Ovwe 20,000 coronavirus cases and 806 deaths reported in Louisiana. @WBRZ https://t.co/KQH6ssJfnG"
151,"Good luck, America.

""Administration officials say the White House has made a deliberate political calculation that it will better serve Trump’s interest to put the onus on governors — not the federal government — to figure out how to move ahead.""

https://t.co/Cq2ixPnjqz"
152,"NEW @NYTIMES CORONAVIRUS INVESTIGATION reveals just how many warnings TRUMP shrugged off.

EXAMPLE: In January, @SecAzar twice warned of a coming pandemic, but @POTUS said he was being alarmist &amp; told him to calm down.

AZAR's authority was soon reduced. https://t.co/xqheegmnFS"
153,"a friend is looking, so let's start a thread: who is hiring tech people to work on #COVID19 right now? full-time, paid, remote (at least for now). link to post is great, or a short description and ""DM/email me"" is fine.

please RT!"
154,More than 65% of the total #COVID19 positive cases in New Delhi are from the #TablighiJamaat members who attended the Nizamuddin Markaz.
155,"""Instead, the front line, is everywhere,"" Trudeau says. #cdnpoli #covid19 https://t.co/oNyQJEnj24"
156,"corona pls, you’ve overstayed your welcome"
157,DEMOCRATS MORE FRAUD EXPOSED: Washington State Coronavirus Field Hospital Will Be Dismantled Without Treating a Single Patient https://t.co/EVOHJBXido
158,"We’ve lost a 26th member of our NHS to Coronavirus. RIP Dr Edmond Adedeji, who worked at an A&amp;E in Swindon. ❤️ https://t.co/N7bBtbqOXk"
159,"Millions of pounds have been cut from women's refuges over the last decade, and in 2017-18, an estimated 21,084 referrals to English refuges were refused because of lack of funding or space.

Now we're being asked to stick a heart on our windows to deal with this crisis. https://t.co/N4xDs4EJQI"
160,"I spoke to @ScottGottliebMD in depth about the coronavirus today. It was a sobering conversation—check out his answer at the beginning on what the coronavirus would have done in the conditions of 1918

https://t.co/90KTszDATh"
161,Read this out loud to yourself and see if you can make it to the end of the president's comments without laughing.
162,"@Iyervval Abhimeister, you don't understand gurl, this whole corona thing is the mischief of the #Djinns!!!

https://t.co/oZbUFQexWW"
163,Love this idea: Medics tape photos of themselves smiling on their PPE so patients can see a reassuring &amp; friendly face. Human connection + compassion creatively maintained #covid19 https://t.co/tKhUDJrqKN https://t.co/GKKzrM05SC
164,"This woman in front of me keeps talking crap about her 11 year old son and how he doesn’t understand the coronavirus, yet she repeatedly keeps taking off her mask and rubbing her face with her bare hands in public... 😑"
165,Lockdown day 20 : getting pranked 🤣 https://t.co/OIS6C7PWbt
166,@hacks4pancakes speaking of sewage... https://t.co/IHBrqhdKaf
167,That pride part🤣🤣🤣🤣🤣
168,A University in #Tokyo uses robots and a tablet hosting a Zoom call to present students attending graduation ceremony during #coronavirus pandemic time https://t.co/iZRhlEryXF
169,Here’s a timeline of how the new coronavirus became a global pandemic #WSJWhatsNow https://t.co/AsHxcebcNu
170,"The only two Governments in the world blaming their health care workers for any shortages or mistakes is, UK and US both economic Nazis that put their, elite, economies and markets before their population. Now the blame shifting is underway."
171,"PM has taken correct decision to extend lockdown. Today, India’s position is better than many developed countries because we started lockdown early. If it is stopped now, all gains would be lost. To consolidate, it is imp to extend it"
172,"95-year-old Bill Kelly and 104-year-old William Lapschies—two great Oregon veterans—have ""collectively survived World War II, the Great Depression, the Spanish Flu epidemic … and now COVID-19.""

America salutes you! 🇺🇸 https://t.co/D71pLcdsTI"
173,"Zhang Wenhong, expert of Shanghai’s Covid-19 task force, dismissed saying that Wuhan has many cases unreported.  “If that is the case, how dare we reopen Wuhan”. Yes, no one is totally sure about the mysterious virus, but equally few outside China knew Wuhan’s draconian lockdown"
174,"Whilst I’m Quarantined, felt I should handle the #behindthebarsmhh challenge/competition my city got goin , @movehiphop_sa @redbullza .....the most likes gets 5k when the lockdown ends , so y’all know what to do lol https://t.co/5mhRr0dDoR"
175,"capitalism: be productive or die

corona: be unproductive or die

me: what do i do

government: idk man seems like you should die"
176,Kinda surprised we’re not seeing VP buzz around London Breed. She’d be very well positioned to contrast successful local COVID-19 response with the federal response. https://t.co/smYyxTA3BA
177,"@WHO_Europe @WHO @WHOEMRO @pahowho @WHOAFRO @WHOSEARO @WHOWPRO @WHO_Europe_RHN @WHOatEU #COVID19 
You forgot 1 thing the COVID19 virus can lead to pneumonia!

How to treat pneumonia https://t.co/ffcvxP3sEh"
178,"Honorable PM Shri. @narendramodi Sir, Only lockdown is only solution? How long we will be going to extended this lockdown?"
179,"Bats harbouring six new types of coronavirus, scientists discover, as humans risk exposure https://t.co/W82vR5kZxR - I really don't like bats anymore."
180,"The Ayatollah leads chants of “death to America.” He pledges to destroy America, which he calls “the Great Satan.” And Senate Dems want to send him millions??? At the EXACT SAME TIME, Senate Dems are blocking desperately need relief to small businesses in America. 😱 #Priorities"
181,"UNITED KINGDOM: A 24 year old woman has been awarded a six months’ prison for spitting on the face of a health-worker while claiming to have coronavirus.

Retweet if you want India to follow the same course."
182,'The germ has gotten so brilliant...there's a genius to it' -Trump on the coronavirus https://t.co/KcLi1lEkx6
183,"Lagos will take care of its health workers. Thank you for always being ready, hardworking &amp; passionate as we fight #COVID19 and other medical conditions. 

Thank you for your sacrifice even during #Easter that allows other residents to stay safely at home.

We appreciate you. https://t.co/Fv5cZ9iSQH"
184,"Healthcare should never be a business, it’s inhumane.  It’s also inhumane to care more about a market than lives.  We are our own worst enemy.

#OneVoice1

A nurse revealed the tragic last words of his coronavirus patient: 'Who's going to pay for it?'
https://t.co/1hBGQ1JBgW"
